               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098799,            0.058875,            0.029331,             0.49595,             0.56001,             0.37932,             0.12945,            0.083559,            0.042617,            0.014592,            0.070698,           0.0032558,           0.0032558
                   1,             0.07812,            0.039057,            0.014537,             0.47394,             0.85716,             0.51395,             0.18341,             0.08386,            0.024249,           0.0091606,            0.040567,           0.0064587,           0.0064587
                   2,            0.077933,            0.030309,            0.010989,             0.32237,             0.94815,             0.64821,              0.2166,             0.07963,            0.021255,           0.0089085,            0.010305,           0.0095296,           0.0095296
                   3,            0.072704,            0.028064,            0.010488,             0.47638,             0.97738,             0.71994,             0.37805,            0.063445,             0.02196,           0.0081615,            0.009406,            0.009406,            0.009406
                   4,            0.059069,            0.026391,           0.0095915,             0.54738,              0.9593,             0.92981,             0.40671,            0.060343,            0.019996,           0.0080149,            0.009406,            0.009406,            0.009406
                   5,            0.052521,            0.024874,           0.0091742,             0.77102,             0.98132,             0.97689,             0.46653,            0.047179,            0.017459,           0.0077301,            0.009208,            0.009208,            0.009208
                   6,            0.047747,            0.022474,           0.0086523,             0.96836,             0.99202,              0.9945,             0.63277,            0.037157,            0.015008,           0.0077694,             0.00901,             0.00901,             0.00901
                   7,             0.04531,             0.02192,           0.0086759,             0.97871,              0.9961,               0.995,             0.59956,            0.040068,            0.015201,           0.0077868,            0.008812,            0.008812,            0.008812
                   8,            0.042385,            0.021213,            0.008129,             0.84111,             0.96791,             0.99289,             0.64563,            0.040878,            0.015068,           0.0075848,            0.008614,            0.008614,            0.008614
                   9,            0.041046,            0.021528,           0.0079476,             0.96439,             0.97496,             0.99172,             0.72318,            0.035231,            0.014172,           0.0075305,            0.008416,            0.008416,            0.008416
                  10,            0.038519,            0.019807,           0.0075315,             0.97574,               0.999,             0.99181,              0.7268,            0.035309,             0.01421,           0.0073945,            0.008218,            0.008218,            0.008218
                  11,            0.037609,            0.019922,           0.0077805,              0.9951,             0.97823,             0.99492,             0.75146,            0.031421,            0.013333,           0.0072439,             0.00802,             0.00802,             0.00802
                  12,            0.035479,            0.019376,           0.0073271,             0.97357,             0.97674,             0.99189,             0.74064,            0.039321,            0.014167,           0.0071412,            0.007822,            0.007822,            0.007822
                  13,            0.035431,            0.018825,           0.0073046,             0.99917,             0.97773,             0.99453,             0.68287,            0.034786,            0.013395,           0.0070384,            0.007624,            0.007624,            0.007624
                  14,            0.035019,            0.019093,           0.0070384,             0.99924,              0.9777,              0.9949,             0.77842,            0.032557,            0.012975,           0.0068575,            0.007426,            0.007426,            0.007426
                  15,            0.033788,            0.018812,           0.0068078,             0.99912,             0.97777,             0.99483,             0.86348,            0.028625,            0.012211,            0.006905,            0.007228,            0.007228,            0.007228
                  16,            0.032488,            0.018039,           0.0067935,             0.99931,             0.97816,             0.99475,             0.82404,            0.029916,            0.012546,           0.0068396,             0.00703,             0.00703,             0.00703
                  17,            0.032061,            0.017839,           0.0069244,             0.99906,             0.97772,               0.995,             0.77776,            0.032356,            0.012763,           0.0067787,            0.006832,            0.006832,            0.006832
                  18,            0.031519,             0.01712,           0.0067815,             0.99923,             0.97752,               0.995,             0.78598,            0.029726,            0.012245,           0.0067814,            0.006634,            0.006634,            0.006634
                  19,            0.030655,            0.017684,            0.006704,             0.98419,             0.98865,               0.995,             0.81575,            0.028758,            0.011872,           0.0066406,            0.006436,            0.006436,            0.006436
                  20,            0.029643,             0.01706,           0.0067874,             0.99909,             0.97799,             0.99494,             0.83713,            0.026276,            0.011191,           0.0066412,            0.006238,            0.006238,            0.006238
